AWS EKS,AWS RDS Postgres,AWS RDS Aurora,AWS Step Functions,AWS Lambda Container,AWS Lambda Code,AWS S3,AWS DynamoDB,AWS EC2,AWS CloudFormation,AWS SageMaker,AWS Redshift,AWS Elastic Beanstalk,AWS API Gateway,Cloud Lock-in Score
4,18,15,14,2,2,9,2,1,17,7,5,4,6,48
9,15,19,18,8,10,9,1,19,8,17,0,13,1,65
15,15,14,13,16,18,6,17,1,18,1,19,19,0,85
11,19,11,0,3,2,5,11,5,19,2,7,18,16,56
13,5,7,3,17,3,11,19,10,16,12,13,19,18,76
17,6,1,11,11,11,4,6,12,19,16,13,4,19,70
12,0,10,12,15,2,19,2,19,17,2,5,11,16,58
5,12,13,12,3,9,9,9,11,13,11,19,0,16,66
9,18,0,5,0,12,9,5,18,8,13,1,18,9,52
19,5,13,0,14,1,19,2,7,12,14,2,10,5,50
19,14,3,1,2,8,3,15,17,4,11,7,16,1,51
3,4,15,4,9,12,15,13,9,5,7,6,1,12,52
13,11,12,10,19,0,15,14,12,5,16,16,8,8,72
7,2,17,8,0,16,13,12,1,7,3,4,15,16,57
10,8,3,18,19,2,1,3,16,8,5,1,1,9,46
6,3,5,6,9,12,2,19,3,14,13,7,3,0,52
19,10,2,16,11,18,10,7,10,19,7,0,6,13,66
9,11,3,17,1,19,6,1,4,9,19,0,7,15,59
5,1,12,14,8,7,18,3,18,1,9,4,5,5,46
7,15,11,15,2,1,2,15,4,4,16,6,17,10,61
7,12,13,7,18,13,8,13,11,14,17,19,19,4,85
14,14,5,17,5,11,16,9,17,6,15,0,13,3,62
9,2,2,19,13,5,19,2,0,6,2,13,19,16,60
2,17,10,8,6,1,15,13,0,10,1,12,19,1,53
15,12,0,10,11,16,17,5,19,14,14,13,13,8,73
13,6,14,4,17,11,15,16,8,3,14,15,10,6,72
7,12,3,14,12,0,2,12,3,18,9,5,4,4,50
5,1,8,13,3,9,16,9,10,10,5,5,5,11,48
7,10,11,10,8,10,16,5,17,7,4,8,7,17,58
